"k7wcnx href","UCc1lI src","fU6cHR","RG5Slk","MKiFS6","PZfbSE src","PvbNMB","o2SIOJ","PvbNMB 2","DTBslk","DTBslk 2","DTBslk 3","DTBslk 4","DTBslk 5","DTBslk 6","hZ3P6w","kRYCnD","HQe8jr","qYp2rh src","HZ0E6r","HZ0E6r 2","HZ0E6r 3","HZ0E6r 4","DTBslk 7"
"https://www.flipkart.com/motorola-edge-70-fusion-pantone-blue-surf-128-gb/p/itm0119095a14fb0?pid=MOBHJ7TXGWKERGJG&lid=LSTMOBHJ7TXGWKERGJGJ1HJ4Q&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_yuOwjsPY6IJvUOakMr73PXetG4Af8tUEJLpk-0t6byQQ9L5y7vX3fc9-924cAUkzjJDD_XznI5MwoDXWVfN2y00Lqp3nUBlQeeazI_xhu1k%3D&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/i/8/-original-imahh5xjfmygs7g3.jpeg?q=70","Add to Compare","MOTOROLA Edge 70 Fusion (Pantone BLUE SURF, 128 GB)","4.5","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","150 Ratings","&","21 Reviews","8 GB RAM | 128 GB ROM","17.27 cm (6.8 inch) Super HD Display","50MP + 13MP | 32MP Front Camera","7000 mAh Battery","Snapdragon 7s Gen 4 Processor","1 Year on Handset and 6 Months on Accessories","₹26,999","₹42,999","37% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","","","","",""
"https://www.flipkart.com/google-pixel-9a-porcelain-256-gb/p/itmfe749ceddac9a?pid=MOBH9YME35EYPV4K&lid=LSTMOBH9YME35EYPV4K5K7UZW&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_yuOwjsPY6IJvUOakMr73PXetG4Af8tUEJLpk-0t6bySTqqSKg8U_FwFx9AHOS2kP_qwGb-grNvyqttbZT1fPz_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/q/f/-original-imahadxg8mgjzrfh.jpeg?q=70","Add to Compare","Google Pixel 9A (Porcelain, 256 GB)","4.5","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","8,289 Ratings","&","548 Reviews","8 GB RAM | 256 GB ROM","15.96 cm (6.285 inch) Full HD+ Display","48MP + 12MP | 12MP Front Camera","5100 mAh Battery","Tensor G4 Processor","1 Year Domestic Warranty","₹39,999","₹49,999","20% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹32,900","Off on Exchange","Bank Offer",""
"https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-amazonite-128-gb/p/itm0ba5c1f57331a?pid=MOBHHD2KXMH9NCYG&lid=LSTMOBHHD2KXMH9NCYGOY7CC7&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHHD2KXMH9NCYG.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/g/a/-original-imahkcvg56ymmhue.jpeg?q=70","Add to Compare","MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)","4.4","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","1,28,173 Ratings","&","6,609 Reviews","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB","16.94 cm (6.67 inch) Display","50MP + 13MP | 32MP Front Camera","5500 mAh Battery","Dimensity 7400 Processor","68W Charger","₹19,999","₹24,999","20% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹15,950","Off on Exchange","Bank Offer","1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"https://www.flipkart.com/motorola-g67-power-5g-pantone-parachute-128-gb/p/itm983b978f3066a?pid=MOBHFSCEBA7G3HXN&lid=LSTMOBHFSCEBA7G3HXNM6IXLV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHFSCEBA7G3HXN.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/y/y/-original-imahhjhfu7jed8kt.jpeg?q=70","Add to Compare","MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","4.4","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","10,001 Ratings","&","548 Reviews","8 GB RAM | 128 GB ROM","17.02 cm (6.7 inch) Full HD+ Display","50MP + 8MP | 32MP Front Camera","7000 mAh Battery","7s Gen 2 Processor","1 Year Warranty on Handset and 6 Months Warranty on Accessories","₹16,999","₹18,999","10% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹13,350","Off on Exchange","Bank Offer",""
"https://www.flipkart.com/realme-p4-power-5g-transsilver-128-gb/p/itm49784b322aad0?pid=MOBHJHSHMQDGQSAD&lid=LSTMOBHJHSHMQDGQSADIONHIC&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=en_yuOwjsPY6IJvUOakMr73PXetG4Af8tUEJLpk-0t6byQakcu3y6z6Ki3DKsvXD9aYJjzqGJZMCTMRtiZVx3I8G33Gaq_wzx4HJysDmGalzMk%3D&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/a/c/-original-imahjzf6gw6zwskp.jpeg?q=70","Add to Compare","realme P4 Power 5G (TransSilver, 128 GB)","4.6","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","2,893 Ratings","&","230 Reviews","8 GB RAM | 128 GB ROM","17.27 cm (6.8 inch) Full HD+ AMOLED Display","50MP + 8MP | Yes","10001 mAh Battery","Dimensity 7400 Ultra Processor","1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories","₹27,999","₹32,999","15% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹22,500","Off on Exchange","Bank Offer",""
"https://www.flipkart.com/motorola-edge-70-fusion-pantone-country-air-256-gb/p/itm2c3fafb1ebdd8?pid=MOBHJ7TXHMJRFPFM&lid=LSTMOBHJ7TXHMJRFPFMDQYCVG&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_yuOwjsPY6IJvUOakMr73PXetG4Af8tUEJLpk-0t6byT-c0kReTHMqKum8R8AmTlYZVawOnhI-HdzSqWFG_801VF91k_NKRtsN7mkYTl-6AQ%3D&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/9/4/-original-imahh6yfjvvmjpur.jpeg?q=70","Add to Compare","MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 256 GB)","4.5","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","150 Ratings","&","21 Reviews","8 GB RAM | 256 GB ROM","17.27 cm (6.8 inch) Super HD Display","50MP + 13MP | 32MP Front Camera","7000 mAh Battery","Snapdragon 7s Gen 4 Processor","1 Year on Handset and 6 Months on Accessories","₹29,999","₹45,999","34% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","","","","",""
"https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-slipstream-128-gb/p/itm3ddb7e06211f1?pid=MOBHHD2K5N9G9VJY&lid=LSTMOBHHD2K5N9G9VJYMQ1MCU&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHHD2K5N9G9VJY.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/d/j/-original-imahkcvg96ut6azs.jpeg?q=70","Add to Compare","MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)","4.4","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","1,28,173 Ratings","&","6,609 Reviews","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB","16.94 cm (6.67 inch) Display","50MP + 13MP | 32MP Front Camera","5500 mAh Battery","Dimensity 7400 Processor","68W Charger","₹19,999","₹24,999","20% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹15,950","Off on Exchange","Bank Offer","1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"https://www.flipkart.com/oppo-k13-5g-7000mah-80w-supervooc-charger-in-the-box-icy-purple-128-gb/p/itm6f2ebf6d205cf?pid=MOBHB392H7TZ4ZKJ&lid=LSTMOBHB392H7TZ4ZKJT3QIAI&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHB392H7TZ4ZKJ.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/k/e/-original-imahbfd4zqn9zazz.jpeg?q=70","Add to Compare","OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)","4.5","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","83,766 Ratings","&","4,878 Reviews","8 GB RAM | 128 GB ROM","16.94 cm (6.67 inch) Display","50MP + 2MP | 16MP Front Camera","7000 mAh Battery","Snapdragon 6 Gen 4 Processor","80W SUPERVOOC Charger","₹18,999","₹22,999","17% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Super Deals","Upto","₹15,100","Off on Exchange","1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories"
"https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-mykonos-blue-128-gb/p/itm921871063b6c7?pid=MOBHHD2KRZ23ZXGS&lid=LSTMOBHHD2KRZ23ZXGS0RBVQE&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHHD2KRZ23ZXGS.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/p/a/-original-imahkcvguk5mx7zm.jpeg?q=70","Add to Compare","MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 128 GB)","4.4","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","1,28,173 Ratings","&","6,609 Reviews","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB","16.94 cm (6.67 inch) Display","50MP + 13MP | 32MP Front Camera","5500 mAh Battery","Dimensity 7400 Processor","68W Charger","₹19,999","₹24,999","20% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹15,950","Off on Exchange","Bank Offer","1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-zephyr-128-gb/p/itm4928a0586b718?pid=MOBHHD2K42R3RQTB&lid=LSTMOBHHD2K42R3RQTBU6T5AP&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=3b3ec74f-0846-40ea-b945-2c6de5d6a585.MOBHHD2K42R3RQTB.SEARCH&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/a/e/-original-imahkcvgkwzd7u6p.jpeg?q=70","Add to Compare","MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)","4.4","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","1,28,173 Ratings","&","6,609 Reviews","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB","16.94 cm (6.67 inch) Display","50MP + 13MP | 32MP Front Camera","5500 mAh Battery","Dimensity 7400 Processor","68W Charger","₹19,999","₹24,999","20% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","Upto","₹15,950","Off on Exchange","Bank Offer","1 Year Warranty on Handset and 6 Months Warranty on Accessories"
"https://www.flipkart.com/motorola-edge-70-fusion-pantone-blue-surf-256-gb/p/itm8617d6ad959da?pid=MOBHJ7TXFYFQB4ET&lid=LSTMOBHJ7TXFYFQB4ETBNG5GN&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_yuOwjsPY6IJvUOakMr73PXetG4Af8tUEJLpk-0t6byTYwaOLXRm1536w_UlLQgwTbDFd4HtWuzaj1B_ixEdnZA1kFuKnWaINrJqv3pKVKuU%3D&ppt=hp&ppn=homepage&ssid=kyeiqr6je80000001773138270563&qH=9215ad6dc70e1542&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/i/8/-original-imahh5xjfmygs7g3.jpeg?q=70","Add to Compare","MOTOROLA Edge 70 Fusion (Pantone BLUE SURF, 256 GB)","4.5","data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==","150 Ratings","&","21 Reviews","8 GB RAM | 256 GB ROM","17.27 cm (6.8 inch) Super HD Display","50MP + 13MP | 32MP Front Camera","7000 mAh Battery","Snapdragon 7s Gen 4 Processor","1 Year on Handset and 6 Months on Accessories","₹29,999","₹45,999","34% off","https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png","","","","",""
